worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_2_contributors
6331127,2075828,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6591664,3801006,12,1,7,0,clixsense,MEX,"","",189.178.161.29,,,0,,0.8571,360,1.0
7348582,2696441,60,2,15,0,prodege,CAN,MB,Winnipeg,207.161.108.104,,,0,,0.8667,360,1.0
7390161,2399683,42,1,12,0,clixsense,IND,"","",27.4.53.101,,,0,,0.9167,360,1.0
8167459,3917682,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
9954345,4331295,6,3,6,0,clixsense,IND,07,Delhi,120.59.75.17,,,0,,0.5,360,1.0
11029231,46A89350DAE5D98EAADFB62A30C6BB71,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11034490,A49649E23956D3B82BFA95FAD8D0CB36,102,2,22,0,neodev,PHL,D9,Pasig City,180.191.118.222,,,0,,0.9091,360,1.0
11257883,4E200F9BD9296FFBDD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11435563,5838725,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
11517193,4497767,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11537974,32FA12F78CCEE7D224750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11579499,2870076,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
12033857,4553546,6,3,6,0,clixsense,PHL,"","",112.211.103.55,,,0,,0.5,360,1.0
12337397,3E8C0FE6318455BC044935D48A84480F,18,1,8,0,neodev,IDN,07,Semarang,222.124.21.42,,,0,,0.875,360,1.0
12383470,DD8DB01C08BD2D2E41A29D4352C72707,18,1,8,0,neodev,IND,"","",14.99.155.27,,,0,,0.875,360,1.0
12659739,79BB752E35C102170FA9E28369487118,6,2,6,0,neodev,IDN,30,Bandung,180.253.20.137,,,0,,0.6667,360,1.0
12778864,3877939,60,0,15,0,clixsense,VEN,"","",190.39.66.163,,,0,,1.0,360,1.0
13919775,4795609,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
13974553,4803776,6,2,6,0,clixsense,IDN,08,Surabaya,114.79.47.32,,,0,,0.6667,360,1.0
14277686,2986767,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
14311647,4848683,84,2,19,0,clixsense,IDN,04,Jakarta,114.4.77.243,,,0,,0.8947,360,1.0
16104268,5097514,30,3,10,0,clixsense,PHL,38,Antipolo,49.148.84.177,,,0,,0.7,360,1.0
16267395,8C10E3A3E3CA8CCA93CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
16567674,5172786,96,2,21,0,clixsense,PHL,D9,Taguig,121.54.32.101,,,0,,0.9048,360,1.0
17209680,5266573,48,0,13,0,clixsense,DEU,"","",91.1.120.128,,,0,,1.0,360,1.0
17222221,3064783,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
17331935,5287289,126,0,26,0,clixsense,MYS,12,Klang,210.195.51.174,,,0,,1.0,360,1.0
17652709,5341324,30,2,10,0,clixsense,IND,28,Kolkata,103.244.241.195,,,0,,0.8,360,1.0
17708868,5324406,6,3,6,0,clixsense,SRB,"","",46.17.151.15,,,0,,0.5,360,1.0
17839436,A69813B0DDA5DBD193CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
17949577,2272945,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18146452,938D786031B481E5BD9CE4BD64DFB8C1,11,2,7,0,neodev,IND,02,Hyderabad,103.15.63.229,,,0,,0.7143,360,1.0
18577127,344852A68715767841A29D4352C72707,6,2,6,0,neodev,SAU,10,Riyadh,2.91.14.30,,,0,,0.6667,0,1.0
18876659,A1FE9A2959B26D1324750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
19130982,5560855,30,0,10,0,clixsense,PHL,D9,San Juan,112.198.77.149,,,0,,1.0,360,1.0
19629221,5634172,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
19746351,E30696D04A14BD6D0FA9E28369487118,6,2,6,0,neodev,ROU,10,Bucharest,109.97.241.146,,,0,,0.6667,0,1.0
19787247,41,0,0,0,0,imerit_india,,,,,,,0,,1.0,0,1.0
19834898,B1FB439039B82D172BFA95FAD8D0CB36,6,3,6,0,neodev,IND,02,Hyderabad,106.66.140.137,,,0,,0.5,0,1.0
19953423,117615,6,0,6,0,tremorgames,IDN,"","",114.124.29.253,,,0,,1.0,360,1.0
20019743,2171179,6,3,6,0,prodege,CAN,ON,Georgetown,108.170.175.238,,,0,,0.5,0,1.0
20033630,5717406,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
20043586,SMichelle22,72,3,17,0,instagc,USA,NY,Gansevoort,67.248.253.125,,,0,,0.8235,360,1.0
20113482,900,18,0,8,0,points4rewards,USA,PA,Harrisburg,204.14.14.230,,,0,,1.0,360,1.0
20313058,5763949,24,1,9,0,clixsense,IDN,04,Jakarta,118.136.203.117,,,0,,0.8889,360,1.0
20419747,2448A5B693BD3EBF41A29D4352C72707,72,1,17,0,neodev,VNM,20,Ho Chi Minh City,1.52.188.53,,,0,,0.9412,360,1.0
