_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,comment_box,verify_relationship,worker_confidence,disease_id,disease_name,drug_id,drug_name,form_sentence,pmid,uniq_id,verify_relationship_gold,worker_confidence_gold
759110536,7/23/2015 22:31:03,false,1697093814,,7/23/2015 22:29:28,false,elite,0.7143,30936260,VNM,44,Hanoi,117.0.240.152,,yes_direct,very_confident,D016171,"<span class=""disease"">TDP</span>",C063968,"<span class=""chemical"">E4031</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>.",11569530,bcv_easy_0,,
759110536,7/23/2015 22:31:23,false,1697094162,,7/23/2015 22:29:21,false,elite,1.0,32708888,SRB,02,Novi Sad,188.246.40.52,,yes_direct,very_confident,D016171,"<span class=""disease"">TDP</span>",C063968,"<span class=""chemical"">E4031</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>.",11569530,bcv_easy_0,,
759110536,7/23/2015 22:31:37,false,1697094429,,7/23/2015 22:29:24,false,clixsense,0.75,32958339,MEX,05,Tuxtla Gutiérrez,187.135.205.138,,yes_indirect,confident,D016171,"<span class=""disease"">TDP</span>",C063968,"<span class=""chemical"">E4031</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>.",11569530,bcv_easy_0,,
759110536,7/23/2015 22:31:47,false,1697094613,,7/23/2015 22:29:20,false,clixsense,0.7778,32298558,MEX,11,León,189.167.69.109,,yes_direct,confident,D016171,"<span class=""disease"">TDP</span>",C063968,"<span class=""chemical"">E4031</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>.",11569530,bcv_easy_0,,
759110536,7/23/2015 22:31:50,false,1697094647,,7/23/2015 22:29:30,false,clixsense,0.7333,32471798,BIH,01,Zenica,31.176.167.149,,yes_direct,confident,D016171,"<span class=""disease"">TDP</span>",C063968,"<span class=""chemical"">E4031</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, cisapride and <span class=""chemical"">E4031</span>.",11569530,bcv_easy_0,,
759110537,7/23/2015 22:23:25,false,1697086824,,7/23/2015 22:22:16,false,neodev,0.913,32664120,VEN,"","",190.36.74.80,,yes_direct,confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031.",11569530,bcv_easy_1,,
759110537,7/23/2015 22:24:43,false,1697088131,,7/23/2015 22:24:09,false,superrewards,0.7826,24634710,CAN,"","",67.71.82.9,,yes_direct,not_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031.",11569530,bcv_easy_1,,
759110537,7/23/2015 22:25:38,false,1697088990,,7/23/2015 22:24:13,false,elite,0.8261,29246578,MAR,52,Sidi Kacem,105.156.206.10,,yes_direct,very_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031.",11569530,bcv_easy_1,,
759110537,7/23/2015 22:25:41,false,1697089048,,7/23/2015 22:24:46,false,clixsense,0.8696,9834199,ROU,14,Constanta,79.116.44.161,,yes_direct,very_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031.",11569530,bcv_easy_1,,
759110537,7/23/2015 22:26:58,false,1697090160,,7/23/2015 22:24:24,false,clixsense,0.7333,32471798,BIH,01,Zenica,31.176.167.149,,yes_direct,not_too_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","Four compounds known to increase QT interval and cause <span class=""disease"">TDP</span> were investigated: terfenadine, terodiline, <span class=""chemical"">cisapride</span> and E4031.",11569530,bcv_easy_1,,
759110538,7/23/2015 22:28:49,false,1697091783,,7/23/2015 22:28:04,false,superrewards,0.7826,24634710,CAN,"","",67.71.82.9,,no_relation,not_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","For compounds that have shown <span class=""disease"">TDP</span> in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins.",11569530,bcv_easy_2,,
759110538,7/23/2015 22:28:52,false,1697091835,,7/23/2015 22:27:26,false,clixsense,0.8696,9834199,ROU,14,Constanta,79.116.44.161,,yes_direct,very_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","For compounds that have shown <span class=""disease"">TDP</span> in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins.",11569530,bcv_easy_2,,
759110538,7/23/2015 22:29:51,false,1697092712,,7/23/2015 22:27:27,false,elite,0.8261,29246578,MAR,52,Sidi Kacem,105.156.206.10,,yes_direct,very_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","For compounds that have shown <span class=""disease"">TDP</span> in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins.",11569530,bcv_easy_2,,
759110538,7/23/2015 22:59:56,false,1697119079,,7/23/2015 22:57:25,false,elite,0.7143,30936260,VNM,44,Hanoi,117.0.240.152,,yes_direct,very_confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","For compounds that have shown <span class=""disease"">TDP</span> in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins.",11569530,bcv_easy_2,,
759110538,7/23/2015 23:00:24,false,1697119602,,7/23/2015 22:58:11,false,clixsense,0.7778,32298558,MEX,11,León,189.167.69.109,,yes_direct,confident,D016171,"<span class=""disease"">TDP</span>",D020117,"<span class=""chemical"">cisapride</span>","For compounds that have shown <span class=""disease"">TDP</span> in the clinic (terfenadine, terodiline, <span class=""chemical"">cisapride</span>) there is little differentiation between the dog ED50 and the efficacious free plasma concentrations in man (< 10-fold) reflecting their limited safety margins.",11569530,bcv_easy_2,,
