worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_2_contributors
1899559,2166645,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
2112439,3098740,18,1,8,0,prodege,USA,OK,Norman,162.228.151.72,,,0,,0.875,360,1.0
2253549,3174334,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
3626598,94399,30,1,10,0,prodege,CAN,ON,Sault Sainte Marie,70.51.131.135,,,0,,0.9,360,1.0
4688131,DanicaWong,42,4,12,0,zoombucks,CAN,BC,Vancouver,75.157.35.92,,,0,,0.6667,360,1.0
6082058,2092513,0,0,0,0,fusioncash,,,,,,,0,,1.0,0,1.0
6329782,3430360,24,3,9,0,clixsense,IDN,08,Surabaya,202.67.40.27,,,0,,0.6667,360,1.0
6331127,2075828,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6333422,3274588,60,1,15,0,clixsense,PHL,B2,Cagayan De Oro,49.147.185.131,,,0,,0.9333,360,1.0
6333857,3202621,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6336109,3694924,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6343537,3410417,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6347548,3525054,30,2,10,0,clixsense,IND,28,Kolkata,116.202.201.75,,,0,,0.8,360,1.0
6348740,3244934,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6355330,3918271,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6373441,3874955,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6431343,3342176,6,2,6,0,clixsense,PRT,14,Lisbon,46.189.150.229,,,0,,0.6667,0,1.0
6476374,3650690,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6488338,3228170,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6508242,3048676,6,2,6,0,clixsense,IND,36,Bareilly,117.212.12.223,,,0,,0.6667,0,1.0
6591664,3801006,48,1,13,0,clixsense,MEX,09,Mexico,189.178.215.37,,,0,,0.9231,360,1.0
7281828,4059599,6,2,6,0,clixsense,PHL,D9,Mandaluyong City,121.54.32.144,,,0,,0.6667,360,1.0
7634905,3218544,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
7690577,4095656,42,3,12,0,clixsense,PHL,D9,Valenzuela,49.148.157.208,,,0,,0.75,360,1.0
8372126,4155856,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
8961042,3831467,6,1,5,0,clixsense,MDG,05,Antananarivo,41.188.20.31,,,0,,0.8,0,1.0
9336290,4251248,138,5,27,0,clixsense,COL,"","",181.62.183.168,,,0,,0.8148,360,1.0
9383666,concorb,24,2,9,0,zoombucks,USA,IN,Noblesville,108.71.210.230,,,0,,0.7778,360,1.0
9509334,2691342,6,2,6,0,clixsense,BIH,01,Sarajevo,188.127.125.187,,,0,,0.6667,0,1.0
9559045,4904896,72,0,15,1,prodege,USA,TX,Katy,107.204.185.88,,,0,,1.0,360,1.0
9832767,2758095,42,0,11,0,clixsense,IND,13,Manjeri,117.205.236.68,,,0,,1.0,36,1.0
9834199,4319228,86,2,20,0,clixsense,ROU,14,Constanta,5.14.18.215,,,0,,0.9,344,1.0
9954345,4331295,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
9960249,4334466,6,2,6,0,clixsense,GHA,"","",197.191.217.61,,,0,,0.6667,0,1.0
11001154,833A65D061D8AEA96964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11024553,00AD955BC907DBE224750D543524A854,78,0,18,0,neodev,PRI,00,San Juan,199.27.100.42,,,0,,1.0,39,1.0
11029231,46A89350DAE5D98EAADFB62A30C6BB71,150,8,30,0,neodev,POL,81,Bialystok,31.135.195.188,,,0,,0.7333,360,1.0
11029445,8FE4D2767C8E3A98DD6A67EA287D2489,6,2,6,0,neodev,USA,"","",99.196.44.203,,,0,,0.6667,0,1.0
11031542,FC920BD8F5A90AA9DD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11034490,A49649E23956D3B82BFA95FAD8D0CB36,168,6,33,0,neodev,PHL,D9,"",180.191.114.106,,,0,,0.8182,67,1.0
11037894,CA42525A7DD1FB9924750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11049382,7D4108E8E41ED477BD9CE4BD64DFB8C1,6,2,6,0,neodev,ROU,01,Alba Iulia,86.123.81.200,,,0,,0.6667,0,1.0
11064916,F3412D40364B0E6F2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11078426,8ED648579F2E9FF80FA9E28369487118,95,1,21,0,neodev,BGD,81,Dhaka,180.234.232.186,,,0,,0.9524,356,1.0
11078443,52B80AF16996820E2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11172894,52389C50E74025930FA9E28369487118,6,2,6,0,neodev,IND,28,Chinsurah,117.194.11.69,,,0,,0.6667,360,1.0
11257883,4E200F9BD9296FFBDD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11373336,4482905,6,3,6,0,clixsense,PHL,18,Roxas,120.29.104.214,,,0,,0.5,360,1.0
11382239,DB17E3FEC2E016F62BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11460706,84F2CC95E36CCA6893CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11517193,4497767,6,5,6,0,clixsense,PRT,"","",89.115.153.93,,,0,,0.1667,360,1.0
11579499,2870076,6,2,6,0,clixsense,CHL,12,Santiago,190.45.44.72,,,0,,0.6667,0,1.0
11598752,4C4348670C5CBD7FAADFB62A30C6BB71,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11640045,DD2E52FA022205D22BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11736720,4520930,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11975072,9278DD699A511A4C6964A2442E880D82,102,1,22,0,neodev,MYS,09,Penang,175.140.40.248,,,0,,0.9545,52,1.0
12055419,5F5AFF833B1AF8AB044935D48A84480F,18,0,8,0,neodev,VEN,23,Maracaibo,186.14.107.140,,,0,,1.0,360,1.0
12337397,3E8C0FE6318455BC044935D48A84480F,66,1,16,0,neodev,IDN,07,Semarang,222.124.21.42,,,0,,0.9375,360,1.0
12517862,6116115,18,0,8,0,prodege,USA,GA,Douglasville,24.126.218.47,,,0,,1.0,360,1.0
