_golden	chemical_id	chemical_name	disease_id	disease_name	form_abstract	form_title	old_cf_work_unit_id	original_job_id	pmid	uniq_id	verify_relationship_gold	verify_relationship_gold_reason
TRUE	D011188	"<span class=""chemical"">potassium</span>"	D014202	"<span class=""disease"">tremor</span>"	"<p>BACKGROUND: The septo-hippocampal cholinergic pathway has been implicated in epileptogenesis, and genetic factors influence the response to cholinergic agents, but limited data are available on cholinergic involvement in alcohol withdrawal severity. Thus, the relationship between cholinergic activity and responsiveness and alcohol withdrawal was investigated in a genetic animal model of ethanol withdrawal severity. </p><p>METHODS: Cholinergic convulsant sensitivity was examined in alcohol-na  ve Withdrawal Seizure-Prone (WSP) and-Resistant (WSR) mice. Animals were administered nicotine, carbachol, or neostigmine via timed tail vein infusion, and the latencies to onset of <span class=""disease"">tremor</span> and clonus were recorded and converted to threshold dose. We also used microdialysis to measure basal and <span class=""chemical"">potassium</span>-stimulated acetylcholine (ACh) release in the CA1 region of the hippocampus. <span class=""chemical"">Potassium</span> was applied by reverse dialysis twice, separated by 75 min. Hippocampal ACh also was measured during testing for handling-induced convulsions. </p><p>RESULTS: Sensitivity to several convulsion endpoints induced by nicotine, carbachol, and neostigmine were significantly greater in WSR versus WSP mice. In microdialysis experiments, the lines did not differ in basal release of ACh, and 50 mM KCl increased ACh output in both lines of mice. However, the increase in release of ACh produced by the first application of KCl was 2-fold higher in WSP versus WSR mice. When hippocampal ACh was measured during testing for handling-induced convulsions, extracellular ACh was significantly elevated (192%) in WSP mice, but was nonsignificantly elevated (59%) in WSR mice. </p><p>CONCLUSIONS: These results suggest that differences in cholinergic activity and postsynaptic sensitivity to cholinergic convulsants may be associated with ethanol withdrawal severity and implicate cholinergic mechanisms in alcohol withdrawal. Specifically, WSP mice may have lower sensitivity to cholinergic convulsants compared with WSR because of postsynaptic receptor desensitization brought on by higher activity of cholinergic neurons.</p>"	The relationship between hippocampal acetylcholine release and cholinergic convulsant sensitivity in withdrawal seizure-prone and withdrawal seizure-resistant selected mouse lines.	756391641.0	754530.0	12198388.0	bcv_hard_59_job_754530_testq	"no_relation
"	The scientists investigated how genetics contributes to withdrawal effects experienced by a mouse. They gave three chemicals (nicotine, carbachol, and neostigmine) to two types of mice and observed whether the mice got tremors. They also gave the mice potassium as a control, but the potassium was not what caused the tremors.
TRUE	D020849	"<span class=""chemical"">raloxifene/raloxifene hydrochloride</span>"	D001851	"<span class=""disease"">osteopenia</span>"	"<p>BACKGROUND: Markers of fibrinolysis, thrombin-activatable fibrinolysis inhibitor (TAFI), tissue-type plasminogen activator (tPA), and plasminogen activator inhibitor-1 (PAI-1) levels were studied for the evaluation of short-term effects of <span class=""chemical"">raloxifene</span> administration in postmenopausal women. </p><p>METHODS: Thirty-nine postmenopausal women with <span class=""disease"">osteopenia</span> or osteoporosis were included in this prospective, controlled clinical study. Twenty-five women were given <span class=""chemical"">raloxifene hydrochloride</span> (60 mg/day) plus calcium (500 mg/day). Age-matched controls (n = 14) were given only calcium. Plasma TAFI, tPA, and PAI-1 antigen levels were measured at baseline and after 3 months of treatment by commercially available ELISA kits. Variations of individuals were assessed by Wilcoxon's test. Relationship between those markers and demographic characteristics were investigated. </p><p>RESULTS: Three months of <span class=""chemical"">raloxifene</span> treatment was associated with a significant decrease in the plasma TAFI antigen concentrations (16% change, P < 0.01), and a significant increase in tPA antigen concentrations (25% change, P < 0.05). A significant correlation was found between baseline TAFI antigen concentrations and the duration of amenorrhea (P < 0.05; r = 0.33). </p><p>CONCLUSION: We suggest that the increased risk of venous thromboembolism due to <span class=""chemical"">raloxifene</span> treatment may be related to increased tPA levels, but not TAFI levels.</p>"	"The effects of short-term <span class=""chemical"">raloxifene</span> therapy on fibrinolysis markers: TAFI, tPA, and PAI-1."	756398159.0	754530.0	16167916.0	bcv_hard_92_job_754530_testq	"no_relation
"	Women already with osteopenia were given the chemical raloxifene hydrochloride to see if the chemical had any effect on the levels of some proteins. The text says that the women already had osteopenia before they were included in the study, and therefore raloxifene doesn't cause osteopenia.
TRUE	D049971	"<span class=""chemical"">thiazide</span>"	D006333	"<span class=""disease"">heart failure</span>"	"<p>BACKGROUND: A previous randomized controlled trial evaluating the use of spironolactone in <span class=""disease"">heart failure</span> patients reported a low risk of hyperkalemia (2%) and renal insufficiency (0%). Because treatments for <span class=""disease"">heart failure</span> have changed since the benefits of spironolactone were reported, the prevalence of these complications may differ in current clinical practice. We therefore sought to determine the prevalence and clinical associations of hyperkalemia and renal insufficiency in <span class=""disease"">heart failure</span> patients treated with spironolactone. </p><p>METHODS: We performed a case control study of <span class=""disease"">heart failure</span> patients treated with spironolactone in our clinical practice. Cases were patients who developed hyperkalemia (K(+) >5.0 mEq/L) or renal insufficiency (Cr >or=2.5 mg/dL), and they were compared to 2 randomly selected controls per case. Clinical characteristics, medications, and serum chemistries at baseline and follow-up time periods were compared. </p><p>RESULTS: Sixty-seven of 926 patients (7.2%) required discontinuation of spironolactone due to hyperkalemia (n = 33) or renal failure (n = 34). Patients who developed hyperkalemia were older and more likely to have diabetes, had higher baseline serum potassium levels and lower baseline potassium supplement doses, and were more likely to be treated with beta-blockers than controls (n = 134). Patients who developed renal insufficiency had lower baseline body weight and higher baseline serum creatinine, required higher doses of loop diuretics, and were more likely to be treated with <span class=""chemical"">thiazide</span> diuretics than controls. </p><p>CONCLUSIONS: Spironolactone-induced hyperkalemia and renal insufficiency are more common in our clinical experience than reported previously. This difference is explained by patient comorbidities and more frequent use of beta-blockers.</p>"	"Spironolactone-induced renal insufficiency and hyperkalemia in patients with <span class=""disease"">heart failure</span>."	756399808.0	754530.0	15632880.0	bcv_hard_46_job_754530_testq	"no_relation
"	The text doesn't say that thiazide has anything to do with heart failure.
TRUE	C016986	"<span class=""chemical"">apraclonidine/aponidine hydrochloride</span>"	D004774	"<span class=""disease"">entropion</span>"	"We prospectively evaluated the adverse reactions of <span class=""chemical"">apraclonidine</span> in 20 normal volunteers by instilling a single drop of 1% <span class=""chemical"">apraclonidine</span> in their right eyes. Examinations, including blood pressure, pulse rate, conjunctiva and cornea, intraocular pressure (IOP), pupil diameter, basal tear secretion and margin reflex distance of both upper and lower eyelids, were performed prior to entry and at 1, 3, 5 and 7 hours after instillation. The ocular hypotensive effects were statistically significant for <span class=""chemical"">apraclonidine</span>-treated eyes throughout the study and also statistically significant for contralateral eyes from three hours after topical administration of 1% <span class=""chemical"">apraclonidine</span>. Decreases in systolic blood pressure were statistically, but not clinically, significant. No significant changes in diastolic blood pressure, pulse rate and basal tear secretion were noted. Conjunctival blanching and mydriasis were commonly found. Upper lid retraction was frequently noted. While the elevations of the upper lid margin in most subjects were not more than 2 mm and did not cause noticeable change in appearance, one subject suffered from mechanical <span class=""disease"">entropion</span> and marked corneal abrasion 3 hours after instillation of the medication. This may well be a particularly notable finding in Asian people."	"Evaluation of adverse reactions of <span class=""chemical"">aponidine hydrochloride</span> ophthalmic solution."	756405204.0	754530.0	8590259.0	bcv_hard_54_job_754530_testq	"yes_direct
"	"One subject developed ""mechanical entropion"" after administration of apraclonidine."
TRUE	C016986	"<span class=""chemical"">apraclonidine/aponidine hydrochloride</span>"	D003316	"<span class=""disease"">corneal abrasion</span>"	"We prospectively evaluated the adverse reactions of <span class=""chemical"">apraclonidine</span> in 20 normal volunteers by instilling a single drop of 1% <span class=""chemical"">apraclonidine</span> in their right eyes. Examinations, including blood pressure, pulse rate, conjunctiva and cornea, intraocular pressure (IOP), pupil diameter, basal tear secretion and margin reflex distance of both upper and lower eyelids, were performed prior to entry and at 1, 3, 5 and 7 hours after instillation. The ocular hypotensive effects were statistically significant for <span class=""chemical"">apraclonidine</span>-treated eyes throughout the study and also statistically significant for contralateral eyes from three hours after topical administration of 1% <span class=""chemical"">apraclonidine</span>. Decreases in systolic blood pressure were statistically, but not clinically, significant. No significant changes in diastolic blood pressure, pulse rate and basal tear secretion were noted. Conjunctival blanching and mydriasis were commonly found. Upper lid retraction was frequently noted. While the elevations of the upper lid margin in most subjects were not more than 2 mm and did not cause noticeable change in appearance, one subject suffered from mechanical entropion and marked <span class=""disease"">corneal abrasion</span> 3 hours after instillation of the medication. This may well be a particularly notable finding in Asian people."	"Evaluation of adverse reactions of <span class=""chemical"">aponidine hydrochloride</span> ophthalmic solution."	756408483.0	754530.0	8590259.0	bcv_hard_51_job_754530_testq	"yes_direct
"	One patient developed corneal abrasion 3 hours after taking apraclonidine.
TRUE	D011239	"<span class=""chemical"">prednisolone</span>"	D009135	"<span class=""disease"">myopathy</span>"	"Statins can cause a necrotizing <span class=""disease"">myopathy</span> and hyperCKaemia which is reversible on cessation of the drug. What is less well known is a phenomenon whereby statins may induce a <span class=""disease"">myopathy</span>, which persists or may progress after stopping the drug. We investigated the muscle pathology in 8 such cases. All had myofibre necrosis but only 3 had an inflammatory infiltrate. In all cases there was diffuse or multifocal up-regulation of MHC-I expression even in non-necrotic fibres. Progressive improvement occurred in 7 cases after commencement of <span class=""chemical"">prednisolone</span> and methotrexate, and in one case spontaneously. These observations suggest that statins may initiate an immune-mediated <span class=""disease"">myopathy</span> that persists after withdrawal of the drug and responds to immunosuppressive therapy. The mechanism of this <span class=""disease"">myopathy</span> is uncertain but may involve the induction by statins of an endoplasmic reticulum stress response with associated up-regulation of MHC-I expression and antigen presentation by muscle fibres."	"Progressive <span class=""disease"">myopathy</span> with up-regulation of MHC-I associated with statin therapy."	756408661.0	754530.0	17241784.0	bcv_hard_31_job_754530_testq	"no_relation
"	The text says that myopathy improvement occurred after treatment with prednisolone. Therefore prednisolone had a positive effect.
TRUE	D008874	"<span class=""chemical"">Midazolam hydrochloride/midazolam</span>"	D012140|D002318	"<span class=""disease"">respiratory and cardiovascular depression</span>"	"<span class=""chemical"">Midazolam hydrochloride</span> is commonly used for dental or endoscopic procedures. Although generally consisted safe when given intramuscularly, intravenous administration is known to cause <span class=""disease"">respiratory and cardiovascular depression</span>. This report describes the first published case of cardiorespiratory arrest and death associated with intramuscular administration of <span class=""chemical"">midazolam</span>. Information regarding <span class=""chemical"">midazolam</span> use is reviewed to provide recommendation for safe administration."	"Possible intramuscular <span class=""chemical"">midazolam</span>-associated cardiorespiratory arrest and death."	756408731.0	754530.0	2375138.0	bcv_hard_73_job_754530_testq	"yes_direct
"	Midazolam hydrochloride, when injected into the blood (intravenous administration), causes respiratory and cardiovascular depression.
TRUE	D010248	"<span class=""chemical"">paramethasone</span>"	D003231	"<span class=""disease"">conjunctivitis</span>"	"Two patients treated with parenteral <span class=""chemical"">paramethasone</span> (Triniol) and dexamethasone (Sedionbel) are described. A few minutes after administration of the drugs, they presented urticaria (patients 1 and 2) and <span class=""disease"">conjunctivitis</span> (patient 1). The purpose of our study was to determine the cause of the patients' reactions, the immunological mechanisms involved and whether these patients would be able to tolerate any kind of corticoid. Clinical examinations and skin, oral and parenteral challenges with different corticosteroids and ELISA tests were performed. In the two patients, skin and ELISA tests with <span class=""chemical"">paramethasone</span> were negative, as was the prick test with each of its excipients. A single-blind parenteral challenge with Triniol was positive in both patients after the administration of 1 ml of the drug, and negative with its excipients. We also carried out oral and parenteral challenges with other corticosteroids and found intolerance to some of them. These results suggest that <span class=""chemical"">paramethasone</span> caused pseudoallergic reactions in our patients. Corticosteroids different from <span class=""chemical"">paramethasone</span> also produced hypersensitivity reactions in these patients; however, a few of them were tolerated. The basic mechanisms of those reactions are not yet fully understood. To our knowledge, this is the first report of a pseudo-allergy caused by <span class=""chemical"">paramethasone</span>."	Pseudo-allergic reactions to corticosteroids: diagnosis and alternatives.	756409055.0	754530.0	7582165.0	bcv_hard_63_job_754530_testq	"yes_direct
"	A few minutes after being given paramethasone, patient 1 developed conjunctivitis.
TRUE	D025101	"<span class=""chemical"">vitamin B6</span>"	D004827	"<span class=""disease"">epilepsy</span>"	"Two patients with similar clinical features are presented: both patients had chronic renal failure, on hemodialysis for many years but recently begun on a high-flux dialyzer; both had been receiving a carbidopa/levodopa preparation; and both had the onset of hallucinosis and recurrent seizures, which were refractory to anticonvulsants. The first patient died without a diagnosis; the second patient had a dramatic recovery following the administration of <span class=""chemical"">vitamin B6</span>. Neither patient was considered to have a renal state sufficiently severe enough to explain their presentation."	"Serial <span class=""disease"">epilepsy</span> caused by levodopa/carbidopa administration in two patients on hemodialysis."	756410342.0	754530.0	2265898.0	bcv_hard_36_job_754530_testq	"no_relation
"	Vitamin B6 was beneficial for one of the patients, and does not cause epilepsy.
TRUE	D003404	"<span class=""chemical"">creatinine</span>"	D006973	"<span class=""disease"">hypertension</span>"	"Rats with lithium-induced nephropathy were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of renal failure. Newborn female Wistar rats were fed a lithium-containing diet (50 mmol/kg) for 8 weeks and then randomized to normal diet, HP diet (40 vs. 19%), NX or HP+NX for another 8 weeks. Corresponding non-lithium pretreated groups were generated. When comparing all lithium treated versus non-lithium-treated groups, lithium caused a reduction in glomerular filtration rate (GFR) without significant changes in effective renal plasma flow (as determined by a marker secreted into the proximal tubules) or lithium clearance. Consequently, lithium pretreatment caused a fall in filtration fraction and an increase in fractional Li excretion. Lithium also caused proteinuria and systolic <span class=""disease"">hypertension</span> in absence of glomerulosclerosis. HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma <span class=""chemical"">creatinine</span> levels in lithium pretreated rats. NX caused an additive deterioration in GFR which, however, was ameliorated by HP. NX+HP caused a further rise in blood pressure in Li-pretreated rats. The results indicate that Li-induced nephropathy, even when the GFR is only modestly reduced, is associated with proteinuria and arterial systolic <span class=""disease"">hypertension</span>. In this model of chronic renal failure the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow, which may be the functional expression of the formation of nonfiltrating atubular glomeruli. The fractional reabsorption of tubular fluid by the proximal tubules is reduced, leaving the distal delivery unchanged.(ABSTRACT TRUNCATED AT 250 WORDS)"	Effects of uninephrectomy and high protein feeding on lithium-induced chronic renal failure in rats.	756410757.0	754530.0	1378968.0	bcv_hard_13_job_754530_testq	"no_relation
"	The text says lithium caused systolic hypertension. It doesn't say that creatinine had anything to do with the hypertension.
