_golden	chemical_id	chemical_name	disease_id	disease_name	form_sentence	original_job_id	pmid	relation_pair_id	sentence_id	uniq_id	verify_relationship_gold	verify_relationship_gold_reason
TRUE	D012701	"<span class=""chemical"">5-HT</span>"	D011605	"<span class=""disease"">psychotic disorders</span>"	"These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered <span class=""chemical"">5-HT</span>6 receptors are involved in the pathophysiology of <span class=""disease"">psychotic disorders</span>."	762850.0	20705401.0	20705401_D012701_D011605		bcv_easy_68_sent_dev_set_762850	"no_relation
"	The receptors to 5-HT6 are related to psychotic disorders, not 5-HT itself.
TRUE	D010396	"<span class=""chemical"">D-penicillamine</span>"	D012594	"<span class=""disease"">localized scleroderma</span>"	"Case reports of 11 patients with severe, extensive <span class=""disease"">localized scleroderma</span> who were treated with <span class=""chemical"">D-penicillamine</span> are summarized in this article."	762850.0	2334179.0	2334179_D010396_D012594		bcv_easy_2399_sent_dev_set_762850	"no_relation
"	D-penicillamine was used to treat the patients.
TRUE	D015016	"<span class=""chemical"">yohimbine</span>"	D019964	"<span class=""disease"">affective disorders</span>"	"METHOD: Six patients with either obsessive compulsive disorder, trichotillomania, anxiety, or <span class=""disease"">affective disorders</span> who suffered sexual side effects after treatment with serotonin reuptake blockers were given <span class=""chemical"">yohimbine</span> on a p.r.n. basis in an open clinical trial."	762850.0	1535072.0	1535072_D015016_D019964		bcv_easy_642_sent_dev_set_762850	"no_relation
"	"The sentence says the affective disorders were caused by ""serotonin reuptake blockers"". Yohimbine was used to try and treat the patients."
TRUE	D002118	"<span class=""chemical"">calcium</span>"	D013035	"<span class=""disease"">muscle spasms</span>"	"While severe hypokalemia may cause muscle weakness, severe hypomagnesemia is associated with <span class=""disease"">muscle spasms</span> and tetany which cannot be corrected by potassium and <span class=""chemical"">calcium</span> supplementation alone (1,2)."	762850.0	8492347.0	8492347_D002118_D013035		bcv_easy_1271_sent_dev_set_762850	"no_relation
"	The sentence says calcium supplementation cannot be used to treat muscle spasms and tetany.
TRUE	D064730	"<span class=""chemical"">dexrazoxane</span>"	D006402	"<span class=""disease"">hematologic toxicity</span>"	"Clinical trials in patients with brain metastases combining <span class=""chemical"">dexrazoxane</span> and high doses of etoposide is ongoing with the aim of improving efficacy without aggravating <span class=""disease"">hematologic toxicity</span>."	762850.0	15897593.0	15897593_D064730_D006402		bcv_easy_2793_sent_dev_set_762850	"no_relation
"	Dexrazoxane is being used to try and make the patients better without making hematologic toxicity worse. The sentence does not say that dexrazoxane causes hematologic toxicity.
TRUE	D003404	"<span class=""chemical"">creatinine</span>"	D006973	"<span class=""disease"">hypertension</span>"	"We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline <span class=""chemical"">creatinine</span>, low systolic blood pressure (<100 mm Hg), history of <span class=""disease"">hypertension</span>, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy."	762850.0	10539815.0	10539815_D003404_D006973		bcv_easy_306_sent_dev_set_762850	"no_relation
"	Creatinine and hypertension were studied as potential predictors of decreased renal (kidney) function.
TRUE	C071741	"<span class=""chemical"">remifentanil</span>"	D010146	"<span class=""disease"">pain</span>"	"CONCLUSIONS: During induction of anaesthesia with TCI of propofol and <span class=""chemical"">remifentanil</span>, a significant reduction in propofol infusion <span class=""disease"">pain</span> was achieved without significant complications by prior administration of <span class=""chemical"">remifentanil</span> at a target Ce of 4 ng ml(-1)."	762850.0	18006530.0	18006530_C071741_D010146		bcv_easy_2437_sent_dev_set_762850	"no_relation
"	Remifentanil reduces the pain caused by propofol.
TRUE	C012052	"<span class=""chemical"">amisulpride</span>"	D006973	"<span class=""disease"">hypertensive</span>"	"CONCLUSIONS: As of March 24, 2005, this is the first reported case of <span class=""chemical"">amisulpride</span>- and tiapride-induced <span class=""disease"">hypertensive</span> crisis in a patient with pheochromocytoma."	762850.0	15811908.0	15811908_C012052_D006973		bcv_easy_808_sent_dev_set_762850	"yes_direct
"	This sentence talks about the first case of amisulpride induced hypertensive crisis.
TRUE	D002211	"<span class=""chemical"">capsaicin</span>"	D010146	"<span class=""disease"">painful</span>"	"A small amount of <span class=""chemical"">capsaicin</span> was administered subcutaneously in the right forehead to evoke a burning <span class=""disease"">painful</span> sensation in the first division of the trigeminal nerve."	762850.0	9514561.0	9514561_D002211_D010146		bcv_easy_2013_sent_dev_set_762850	"yes_direct
"	Capsaicin (the chemical that makes chilis spicy), when put under your skin, causes pain.
TRUE	D003630	"<span class=""chemical"">daunorubicin</span>"	D000163	"<span class=""disease"">AIDS</span>"	"We report a non-randomized Phase II clinical trial to assess the efficacy and safety of liposomal <span class=""chemical"">daunorubicin</span> (DaunoXome) in the treatment of <span class=""disease"">AIDS</span> related Kaposi's sarcoma."	762850.0	8305357.0	8305357_D003630_D000163		bcv_easy_125_sent_dev_set_762850	"no_relation
"	Daunorubicin is being studied as a way to treat AIDS related Kaposi's sarcoma.
TRUE	D000241	"<span class=""chemical"">adenosine</span>"	D059787|D059350	"<span class=""disease"">acute and chronic pain</span>"	"BACKGROUND: Preclinical studies of intrathecal <span class=""chemical"">adenosine</span> suggest it may be effective in the treatment of <span class=""disease"">acute and chronic pain</span> in humans, and preliminary studies in volunteers and patients with a Swedish formulation of <span class=""chemical"">adenosine</span> suggests it may be effective in hypersensitivity states but not with acute noxious stimulation."	762850.0	11752998.0	11752998_D000241_D059787|D059350		bcv_easy_3089_sent_dev_set_762850	"no_relation
"	Adenosine might be able to treat acute and chronic pain.
TRUE	D010830	"<span class=""chemical"">eserine</span>"	D015878	"<span class=""disease"">mydriasis</span>"	"On the other hand, <span class=""disease"">mydriasis</span>, tremor and clonic-tonic convulsions evoked by carbachol and <span class=""chemical"">eserine</span> were not significantly changed by calcium chloride."	762850.0	6892185.0	6892185_D010830_D015878		bcv_easy_1548_sent_dev_set_762850	"yes_direct
"	Eserine and carbachol cause mydriasis.
TRUE	C084178	"<span class=""chemical"">telmisartan</span>"	D006973	"<span class=""disease"">hypertension</span>"	"Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of <span class=""chemical"">telmisartan</span> and amlodipine versus amlodipine monotherapy in Indian adults with stage II <span class=""disease"">hypertension</span>."	762850.0	18201582.0	18201582_C084178_D006973		bcv_easy_2744_sent_dev_set_762850	"no_relation
"	Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
TRUE	D004329	"<span class=""chemical"">droperidol</span>"	D004342	"<span class=""disease"">drug allergies</span>"	"We report the case of a previously healthy 19-year-old man with no known <span class=""disease"">drug allergies</span> in whom angioedema with significant tongue swelling and protrusion developed within 10 minutes of the administration of a single IV dose of <span class=""chemical"">droperidol</span>."	762850.0	8599504.0	8599504_D004329_D004342		bcv_easy_1324_sent_dev_set_762850	"no_relation
"	Droperidol causes angioedema and tongue swelling, but the patient had no prior drug allergies.
TRUE	D006493	"<span class=""chemical"">heparin</span>"	D006470	"<span class=""disease"">hemorrhage</span>"	"Clinical manifestations of this disorder include <span class=""disease"">hemorrhage</span> or, more frequently, thromboembolic events in patients receiving <span class=""chemical"">heparin</span>."	762850.0	6615052.0	6615052_D006493_D006470		bcv_easy_3021_sent_dev_set_762850	"yes_direct
"	"The sentence does not follow the ""[chemical]-induced [other disease] causes [highlighted disease]"" structure, so  heparin-induced [other disease] causes hemorrhage is wrong. Patients developed hemorrhage after receiving heparin, so the correct choice is ""heparin directly contributes to or causes hemorrhage."""
TRUE	D014700	"<span class=""chemical"">Verapamil</span>"	D001281	"<span class=""disease"">AF</span>"	"RESULTS: <span class=""chemical"">Verapamil</span> caused <span class=""disease"">AF</span> promotion in six dogs, increasing mean duration of <span class=""disease"">AF</span> induced by burst pacing, from 8+/-4 s (mean+/-S.E.) to 95+/-39 s (P<0.01 vs. control) at a loading dose of 0.1 mg/kg and 228+/-101 s (P<0.0005 vs. control) at a dose of 0.2 mg/kg."	762850.0	11282081.0	11282081_D014700_D001281		bcv_easy_1715_sent_dev_set_762850	"yes_direct
"	
TRUE	D004298	"<span class=""chemical"">dopamine</span>"	D002389	"<span class=""disease"">catatonia</span>"	"In the pinealectomized chick, pretreatment with <span class=""chemical"">dopamine</span> increased the duration of <span class=""disease"">catatonia</span> (DOC) after ketamine, but pretreatment with norepinephrine did not."	762850.0	6540303.0	6540303_D004298_D002389		bcv_easy_967_sent_dev_set_762850	"yes_direct
"	Dopamine made the duration of catatonia longer, which means dopamine made catatonia worse.
TRUE	D000082	"<span class=""chemical"">acetaminophen</span>"	D064420	"<span class=""disease"">toxicity</span>"	"To further our understanding of the mechanism of CS cytoprotection, we examined in rats and mice the protective abilities of CS and the non-hydrolyzable ether form of CS, gamma-cholesteryloxybutyric acid, tris salt (CSE) against <span class=""chemical"">acetaminophen</span>-, adriamycin-, carbon tetrachloride-, chloroform- and galactosamine-induced <span class=""disease"">toxicity</span>."	762850.0	9067481.0	9067481_D000082_D064420		bcv_easy_2720_sent_dev_set_762850	"yes_direct
"	Five chemicals, including acetaminophen, induced (caused) toxicity.
TRUE	D016861	"<span class=""chemical"">cyclooxygenase inhibitors</span>"	D020521	"<span class=""disease"">stroke</span>"	"Randomised clinical trials and observational studies have shown an increased risk of myocardial infarction, <span class=""disease"">stroke</span>, hypertension and heart failure during treatment with <span class=""chemical"">cyclooxygenase inhibitors</span>."	762850.0	16586083.0	16586083_D016861_D020521		bcv_easy_291_sent_dev_set_762850	"yes_direct
"	Cyclooxygenase inhibitors cause four diseases including stroke.
TRUE	D000109	"<span class=""chemical"">acetylcholine</span>"	D023921	"<span class=""disease"">coronary artery stenosis</span>"	"Coronary spasm was induced by intracoronary injection of <span class=""chemical"">acetylcholine</span>, and no fixed <span class=""disease"">coronary artery stenosis</span> was documented on angiograms in all patients."	762850.0	11078231.0	11078231_D000109_D023921		bcv_easy_1807_sent_dev_set_762850	"no_relation
"	No fixed coronary artery stenosis was observed in patients who were injected with acetylcholine.
TRUE	D014147	"<span class=""chemical"">tramadol</span>"	D006212	"<span class=""disease"">hallucinations</span>"	"Fifty-six days after initiation of the treatment the patient presented <span class=""disease"">hallucinations</span> that only stopped after the withdrawal of psycho-active drugs and <span class=""chemical"">tramadol</span>."	762850.0	8766220.0	8766220_D014147_D006212		bcv_easy_1658_sent_dev_set_762850	"yes_direct
"	The hallucinations only went away after psycho-active drugs and tramadol were taken away.
TRUE	D000638	"<span class=""chemical"">Amiodarone</span>"	D011014	"<span class=""disease"">pneumonitis</span>"	"<span class=""chemical"">Amiodarone</span> is an effective antiarrhythmic agent whose utility is limited by many side-effects, the most problematic being <span class=""disease"">pneumonitis</span>."	762850.0	1595783.0	1595783_D000638_D011014		bcv_easy_3183_sent_dev_set_762850	"yes_direct
"	Pneumonitis is a side effect of amiodarone.
TRUE	D017374	"<span class=""chemical"">paroxetine</span>"	D059350	"<span class=""disease"">chronic pain</span>"	"This drug was initiated in association with <span class=""chemical"">paroxetine</span> and dosulepine hydrochloride in a tetraparetic patient with <span class=""disease"">chronic pain</span>."	762850.0	8766220.0	8766220_D017374_D059350		bcv_easy_1657_sent_dev_set_762850	"no_relation
"	A patient with chronic pain was given paroxetine, but the sentence does not say paroxetine caused the pain.
TRUE	D002945	"<span class=""chemical"">cisplatin</span>"	D058186	"<span class=""disease"">acute renal injury</span>"	"The nephroprotective effect of coenzyme Q10 was investigated in mice with <span class=""disease"">acute renal injury</span> induced by a single i.p. injection of <span class=""chemical"">cisplatin</span> (5 mg/kg)."	762850.0	20510337.0	20510337_D002945_D058186		bcv_easy_1046_sent_dev_set_762850	"yes_direct
"	Acute renal injury was induced by cisplatin injection.
TRUE	D010878	"<span class=""chemical"">piperacillin</span>"	D006311	"<span class=""disease"">Ototoxicity</span>"	"<span class=""disease"">Ototoxicity</span> occurred in four (9.5%) of 42 netilmicin and <span class=""chemical"">piperacillin</span> and in 12 (22%) of 54 tobramycin and <span class=""chemical"">piperacillin</span>-treated patients."	762850.0	3535719.0	3535719_D010878_D006311		bcv_easy_773_sent_dev_set_762850	"yes_direct
"	Some of the patients receiving piperacillin developed ototoxicity.
TRUE	D010665	"<span class=""chemical"">PPA</span>"	D006973	"<span class=""disease"">hypertensive</span>"	"These results suggest that <span class=""chemical"">PPA</span>/caffeine can lead to cerebral hemorrhage in previously <span class=""disease"">hypertensive</span> animals when administered in greater than the allowed dosage."	762850.0	6695415.0	6695415_D010665_D006973		bcv_easy_1498_sent_dev_set_762850	"no_relation
"	"The ""previously"" implies that the animals already had hypertension before they were given PPA."
TRUE	D000666	"<span class=""chemical"">amphotericin B</span>"	D007008	"<span class=""disease"">hypokalemia</span>"	"Spironolactone: is it a novel drug for the prevention of <span class=""chemical"">amphotericin B</span>-related <span class=""disease"">hypokalemia</span> in cancer patients?"	762850.0	11868798.0	11868798_D000666_D007008		bcv_easy_1118_sent_dev_set_762850	"yes_direct
"	
TRUE	C034753	"<span class=""chemical"">benzylacyclouridine/BAU</span>"	D007970	"<span class=""disease"">leukopenia</span>"	"Because of the clinical toxicities associated with chronic Urd administration, the ability of <span class=""chemical"">benzylacyclouridine</span> (<span class=""chemical"">BAU</span>) to effect, in vivo, AZT-induced anemia and <span class=""disease"">leukopenia</span> was assessed."	762850.0	2257294.0	2257294_C034753_D007970		bcv_easy_2854_sent_dev_set_762850	"no_relation
"	"Leukopenia was caused by ""AZT""."
TRUE	D002083	"<span class=""chemical"">BHA</span>"	D010212	"<span class=""disease"">squamous cell papilloma</span>"	"In groups given 2% <span class=""chemical"">BHA</span>, although marked hyperplastic changes of the forestomach epithelium were observed in all animals, co-administration of 0.25% RA significantly (P less than 0.05) increased the incidence of forestomach tumors (<span class=""disease"">squamous cell papilloma</span> and carcinoma) to 60% (9/15, 2 rats with carcinoma) from 15% (3/20, one rat with carcinoma) in the group given RA-free water."	762850.0	3131282.0	3131282_D002083_D010212		bcv_easy_24_sent_dev_set_762850	"yes_direct
"	Giving BHA together with RA caused squamous cell papillomas. Remember if a chemical only works in combination with other chemicals, then the correct choice is that the chemical can cause the disease.
TRUE	D013835	"<span class=""chemical"">TPP</span>"	D014899	"<span class=""disease"">Wernicke's encephalopathy</span>"	"We found that the above-mentioned patient and one of the diabetic kindreds with no history of <span class=""disease"">Wernicke's encephalopathy</span> had abnormal transketolase as determined by its Km for <span class=""chemical"">TPP</span>."	762850.0	3762968.0	3762968_D013835_D014899		bcv_easy_1369_sent_dev_set_762850	"no_relation
"	
