_golden	chemical_id	chemical_name	comment_box_gold_reason	disease_id	disease_name	form_sentence	original_job_id	pmid	relation_pair_id	uniq_id	useless_column_gold	useless_column_gold_reason	verify_relationship_gold	verify_relationship_gold_reason
TRUE	D010672	"<span class=""chemical"">phenytoin</span>"		D011605	"<span class=""disease"">psychosis</span>"	"The case of a nonepileptic patient who developed <span class=""disease"">psychosis</span> following <span class=""chemical"">phenytoin</span> treatment for trigeminal neuralgia is described."	760841.0	14698717	14698717_D010672_D011605	bcv_easy_3152_job_760841_testq	"test
other
experiment"	ignore_this	yes_direct	The patient developed psychosis after receiving phenytoin.
TRUE	D001379	"<span class=""chemical"">azathioprine</span>"		D009369	"<span class=""disease"">cancers</span>"	"There have been several long-term studies of patients with rheumatoid arthritis treated with <span class=""chemical"">azathioprine</span> and cyclophosphamide and the incidence of most of the common <span class=""disease"">cancers</span> is not increased."	760841.0	3970039	3970039_D001379_D009369	bcv_easy_2200_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	Azathioprine had no effect on cancer prevalence in the patients.
TRUE	D011433	"<span class=""chemical"">propranolol</span>"		D016584	"<span class=""disease"">panic disorders</span>"	"The effects of oral doses of diazepam (single dose of 10 mg and a median dose of 30 mg/day for 2 weeks) and <span class=""chemical"">propranolol</span> (single dose of 80 mg and a median dose of 240 mg/day for 2 weeks) on psychological performance of patients with <span class=""disease"">panic disorders</span> and agoraphobia were investigated in a double-blind, randomized and crossover design."	760841.0	6387529	6387529_D011433_D016584	bcv_easy_174_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	The sentence says that the effects of diazepam and propranolol on patients was investigated. The sentence does not state what the effect was.
TRUE	D004837	"<span class=""chemical"">adrenaline</span>"		D001281	"<span class=""disease"">atrial fibrillation</span>"	"An increase in blood pressure, accompanied by <span class=""disease"">atrial fibrillation</span>, agitation, incomprehensible shouts and loss of consciousness, was observed in an elderly, ASA classification group II, cardiovascularly medicated male, 12 min after performance of axillary block with mepivacaine 850 mg containing <span class=""chemical"">adrenaline</span> 0.225 mg, for correction of Dupuytren's contracture."	760841.0	9698967	9698967_D004837_D001281	bcv_easy_762_job_760841_testq	"test
other
experiment"	ignore_this	yes_direct	Giving mepivacaine and adrenaline together caused the male patient to experience atrial fibrillation.
TRUE	D007654	"<span class=""chemical"">ketoconazole</span>"		D006973	"<span class=""disease"">hypertension</span>"	"In both cases normal plasma and urinary free cortisol levels had been achieved following <span class=""chemical"">ketoconazole</span> therapy, yet continuous blood pressure monitoring demonstrated <span class=""disease"">hypertension</span> 31 (patient 1) and 52 weeks (patient 2) after treatment."	760841.0	2632720	2632720_D007654_D006973	bcv_easy_58_job_760841_testq	"test
other
experiment"	ignore_this	yes_direct	Long-term patient monitoring showed that both patients had hypertension after receiving ketoconazole therapy.
TRUE	D002945	"<span class=""chemical"">cisplatin</span>"		D064420	"<span class=""disease"">toxicity</span>"	"We initiated a phase I/II trial to determine the response and <span class=""disease"">toxicity</span> of escalating paclitaxel doses combined with fixed-dose <span class=""chemical"">cisplatin</span> with granulocyte colony-stimulating factor support in patients with untreated locally advanced inoperable head and neck carcinoma."	760841.0	8643971	8643971_D002945_D064420	bcv_easy_2217_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	The sentence says that the response and toxicity of paclitaxel with cisplatin was studied, but does not say what the result was.
TRUE	D012964	"<span class=""chemical"">na</span>"		D012640	"<span class=""disease"">Seizure</span>"	"METHODS: Cholinergic convulsant sensitivity was examined in alcohol-<span class=""chemical"">na</span>  ve Withdrawal <span class=""disease"">Seizure</span>-Prone (WSP) and-Resistant (WSR) mice."	760841.0	12198388	12198388_D012964_D012640	bcv_easy_847_job_760841_testq	"test
other
experiment"	ignore_this	ner_mistake	"""na"" does not represent a chemical in this context. There seems to be an error with ""alcohol-na ve"" since ""ve"" is not a word."
TRUE	D014031	"<span class=""chemical"">tobramycin sulfate</span>"		D006311	"<span class=""disease"">ototoxicity</span>"	"Gentamicin sulfate and <span class=""chemical"">tobramycin sulfate</span> continue to demonstrate <span class=""disease"">ototoxicity</span> and nephrotoxicity in both animal and clinical studies."	760841.0	7420681	7420681_D014031_D006311	bcv_easy_2055_job_760841_testq	"test
other
experiment"	ignore_this	yes_direct	Tobramycin sulfate causes ototoxicity in animals and humans.
TRUE	D014700	"<span class=""chemical"">Verapamil</span>"		D006973	"<span class=""disease"">hypertensive</span>"	"<span class=""chemical"">Verapamil</span> withdrawal as a possible cause of myocardial infarction in a <span class=""disease"">hypertensive</span> woman with a normal coronary angiogram."	760841.0	3173179	3173179_D014700_D006973	bcv_easy_1910_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	Verapamil was used by a woman with hypertension, but the sentence does not say that verapamil causes hypertension.
TRUE	D002110	"<span class=""chemical"">caffeine</span>"		D014693	"<span class=""disease"">ventricular fibrillation</span>"	"We describe a 25-year-old woman with pre-existing mitral valve prolapse who developed intractable <span class=""disease"">ventricular fibrillation</span> after consuming a ""natural energy"" guarana health drink containing a high concentration of <span class=""chemical"">caffeine</span>."	760841.0	11419773	11419773_D002110_D014693	bcv_easy_298_job_760841_testq	"test
other
experiment"	ignore_this	yes_direct	She developed ventricular fibrillation after consuming the health drink containing caffeine.
TRUE	D000082	"<span class=""chemical"">acetaminophen</span>"		D007676	"<span class=""disease"">ESRD</span>"	"The possibility that habitual use of <span class=""chemical"">acetaminophen</span> alone increases the risk of <span class=""disease"">ESRD</span> has not been clearly demonstrated, but cannot be dismissed."	760841.0	8669433	8669433_D000082_D007676	bcv_easy_698_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	"The sentence says that it is not known whether acetaminophen causes ESRD, but that it is also not impossible. Therefore we do not know whether acetaminophen causes ESRD, and therefore the answer is that ""the sentence does not say that acetaminophen contributes to or causes ESRD""."
TRUE	D010862	"<span class=""chemical"">pilocarpine</span>"		D002544	"<span class=""disease"">Infarcts in substantia nigra pars reticulata</span>"	"<span class=""disease"">Infarcts in substantia nigra pars reticulata</span> were evoked by prolonged <span class=""chemical"">pilocarpine</span>-induced status epilepticus."	760841.0	8410052	8410052_D010862_D002544	bcv_easy_229_job_760841_testq	"test
other
experiment"	ignore_this	yes_indirect	"The infarcts were caused (""evoked"") by status epilepticus, which is another disease (a series of seizures). Therefore pilocarpine contributed to ""infarcts in substantia nigra pars reticulata"" through another disease."
TRUE	D000628	"<span class=""chemical"">aminophylline</span>"		D012131	"<span class=""disease"">respiratory failure</span>"	"The effects of <span class=""chemical"">aminophylline</span> on the ventricular fibrillation threshold during normal acid-base conditions and during <span class=""disease"">respiratory failure</span> were studied in anesthetized open chest dogs."	760841.0	234669	234669_D000628_D012131	bcv_easy_2792_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	The sentence says that the effects were studied, but does not say if there were any effects.
TRUE	C027260	"<span class=""chemical"">4'-0-tetrahydropyranyladriamycin/Pirarubicin</span>"		D009369	"<span class=""disease"">tumors</span>"	"A Phase I study of intravenous (IV) bolus <span class=""chemical"">4'-0-tetrahydropyranyladriamycin</span> (<span class=""chemical"">Pirarubicin</span>) was done in 55 patients in good performance status with refractory <span class=""disease"">tumors</span>."	760841.0	2224762	2224762_C027260_D009369	bcv_easy_2221_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	The study of Pirarubicin was done in patients with existing tumors, but there is no stated link between Pirarubicin and tumors.
TRUE	C558899	"<span class=""chemical"">lopinavir/ritonavir</span>"		D001919	"<span class=""disease"">bradycardia</span>"	"One of the twins developed complete heart block and dilated cardiomyopathy related to <span class=""chemical"">lopinavir/ritonavir</span> therapy, a boosted protease-inhibitor agent, while the other twin developed mild <span class=""disease"">bradycardia</span>."	760841.0	19820426	19820426_C558899_D001919	bcv_easy_1711_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	The first twin used lopinavir/ritonavir, but it was the second twin who developed bradycardia.
TRUE	D011346	"<span class=""chemical"">prochlorperazine</span>"		D017109	"<span class=""disease"">akathisia</span>"	"Intravenous administration of <span class=""chemical"">prochlorperazine</span> by 15-minute infusion versus 2-minute bolus does not affect the incidence of <span class=""disease"">akathisia</span>: a prospective, randomized, controlled trial."	760841.0	11679859	11679859_D011346_D017109	bcv_easy_834_job_760841_testq	"test
other
experiment"	ignore_this	no_relation	Prochlorperazine has no effect on akathisia.
TRUE	D005283	"<span class=""chemical"">Fentanyl</span>"		D001919	"<span class=""disease"">bradycardia</span>"	"<span class=""chemical"">Fentanyl</span> did reduce minor intraoperative movement but had no sevoflurane-sparing effect and increased respiratory depression, hypotension and <span class=""disease"">bradycardia</span>."	760841.0	18544179	18544179_D005283_D001919	bcv_easy_2375_job_760841_testq	"test
other
experiment"	ignore_this	yes_direct	Fentanyl increased bradycardia.
