uniq_id	verify_relationship	conf_score	num_votes	percent_agree	pmid	unit_id	chemical_id	disease_id	relation_pair_id	sentence_id	in_gold
bcv_easy_0	yes_direct	3.3235	4	0.818838080221	15579441.0	769152007.0	D011692	D000860	15579441_D011692_D000860	15579441_4	1
bcv_easy_0	no_relation	0.7353	1	0.181161919779	15579441.0	769152007.0	D011692	D000860	15579441_D011692_D000860	15579441_4	1
bcv_easy_1	yes_direct	1.5294	2	0.374101071376	15579441.0	769152008.0	D011692	D000860	15579441_D011692_D000860	15579441_5	1
bcv_easy_1	no_relation	2.5588	3	0.625898928624	15579441.0	769152008.0	D011692	D000860	15579441_D011692_D000860	15579441_5	1
bcv_easy_10	yes_direct	0.8529	1	0.218038193113	18006530.0	769152017.0	D015742	D010146	18006530_D015742_D010146	18006530_11	1
bcv_easy_10	no_relation	3.0588	4	0.781961806887	18006530.0	769152017.0	D015742	D010146	18006530_D015742_D010146	18006530_11	1
bcv_easy_100	yes_direct	0.0	0	0.0	8766220.0	769152107.0	D017374	D059350	8766220_D017374_D059350	8766220_2	0
bcv_easy_100	no_relation	3.9327	5	1.0	8766220.0	769152107.0	D017374	D059350	8766220_D017374_D059350	8766220_2	0
bcv_easy_1000	yes_direct	3.9446	5	1.0	3952818.0	769153007.0	D005472	D066126	3952818_D005472_D066126	3952818_3	0
bcv_easy_1001	yes_direct	0.0	0	0.0	3952818.0	769153008.0	D002118	D066126	3952818_D002118_D066126	3952818_3	0
bcv_easy_1001	no_relation	3.9319	5	1.0	3952818.0	769153008.0	D002118	D066126	3952818_D002118_D066126	3952818_3	0
bcv_easy_1002	yes_direct	0.0	0	0.0	3952818.0	769153009.0	D002118	D003329	3952818_D002118_D003329	3952818_3	0
bcv_easy_1002	no_relation	4.0881	5	1.0	3952818.0	769153009.0	D002118	D003329	3952818_D002118_D003329	3952818_3	0
bcv_easy_1004	yes_direct	2.3529	3	0.597016061506	16157917.0	769153011.0	C047781	C562694	16157917_C047781_C562694	16157917_0	0
bcv_easy_1004	no_relation	1.5882	2	0.402983938494	16157917.0	769153011.0	C047781	C562694	16157917_C047781_C562694	16157917_0	0
bcv_easy_1005	yes_direct	3.0553	4	0.806020155121	16157917.0	769153012.0	C047781	D009207	16157917_C047781_D009207	16157917_0	1
bcv_easy_1005	no_relation	0.7353	1	0.193979844879	16157917.0	769153012.0	C047781	D009207	16157917_C047781_D009207	16157917_0	1
bcv_easy_1006	yes_direct	0.0	0	0.0	16157917.0	769153013.0	C047781	C562694	16157917_C047781_C562694	16157917_1	0
bcv_easy_1006	no_relation	3.8907	5	1.0	16157917.0	769153013.0	C047781	C562694	16157917_C047781_C562694	16157917_1	0
bcv_easy_1008	yes_direct	3.866	5	1.0	16157917.0	769153015.0	C047781	D009207	16157917_C047781_D009207	16157917_2	1
bcv_easy_1009	yes_direct	1.6177	2	0.416267819464	16157917.0	769153016.0	C047781	D009207	16157917_C047781_D009207	16157917_3	1
bcv_easy_1009	no_relation	2.2685	3	0.583732180536	16157917.0	769153016.0	C047781	D009207	16157917_C047781_D009207	16157917_3	1
bcv_easy_1010	yes_direct	3.1176	4	0.802099413399	16157917.0	769153017.0	C047781	D009207	16157917_C047781_D009207	16157917_4	1
bcv_easy_1010	no_relation	0.7692	1	0.197900586601	16157917.0	769153017.0	C047781	D009207	16157917_C047781_D009207	16157917_4	1
bcv_easy_1011	yes_direct	1.5084	2	0.378975930858	6637851.0	769153018.0	D000638	D017180	6637851_D000638_D017180	6637851_0	0
bcv_easy_1011	no_relation	2.4718	3	0.621024069142	6637851.0	769153018.0	D000638	D017180	6637851_D000638_D017180	6637851_0	0
bcv_easy_1012	yes_direct	2.3104	3	0.581086519115	6637851.0	769153019.0	D000638	D064420	6637851_D000638_D064420	6637851_0	0
bcv_easy_1012	no_relation	1.6656	2	0.418913480885	6637851.0	769153019.0	D000638	D064420	6637851_D000638_D064420	6637851_0	0
bcv_easy_1013	yes_direct	0.8529	1	0.208691184027	6637851.0	769153020.0	D000638	D014693	6637851_D000638_D014693	6637851_0	0
bcv_easy_1013	no_relation	3.234	4	0.791308815973	6637851.0	769153020.0	D000638	D014693	6637851_D000638_D014693	6637851_0	0
bcv_easy_1014	yes_direct	0.7941	1	0.205656126175	6637851.0	769153021.0	D000638	D017180	6637851_D000638_D017180	6637851_1	0
bcv_easy_1014	no_relation	3.0672	4	0.794343873825	6637851.0	769153021.0	D000638	D017180	6637851_D000638_D017180	6637851_1	0
bcv_easy_1015	yes_direct	0.0	0	0.0	6637851.0	769153022.0	D000638	D006323	6637851_D000638_D006323	6637851_1	0
bcv_easy_1015	no_relation	4.0927	5	1.0	6637851.0	769153022.0	D000638	D006323	6637851_D000638_D006323	6637851_1	0
bcv_easy_1016	yes_direct	0.7941	1	0.201491969247	6637851.0	769153023.0	D000638	D017180	6637851_D000638_D017180	6637851_3	0
bcv_easy_1016	no_relation	3.147	4	0.798508030753	6637851.0	769153023.0	D000638	D017180	6637851_D000638_D017180	6637851_3	0
bcv_easy_1017	yes_direct	0.0	0	0.0	6637851.0	769153024.0	D000638	D014693	6637851_D000638_D014693	6637851_3	0
bcv_easy_1017	no_relation	4.0516	5	1.0	6637851.0	769153024.0	D000638	D014693	6637851_D000638_D014693	6637851_3	0
bcv_easy_1018	yes_direct	0.913	1	0.224876847291	6637851.0	769153025.0	D000638	D017180	6637851_D000638_D017180	6637851_4	0
bcv_easy_1018	no_relation	3.147	4	0.775123152709	6637851.0	769153025.0	D000638	D017180	6637851_D000638_D017180	6637851_4	0
bcv_easy_1019	yes_direct	0.0	0	0.0	6637851.0	769153026.0	D000638	D017180	6637851_D000638_D017180	6637851_8	0
bcv_easy_1019	no_relation	4.0226	5	1.0	6637851.0	769153026.0	D000638	D017180	6637851_D000638_D017180	6637851_8	0
bcv_easy_102	yes_direct	2.4117	3	0.585705265203	458486.0	769152109.0	D063325	D004409	458486_D063325_D004409	458486_0	0
bcv_easy_102	no_relation	1.7059	2	0.414294734797	458486.0	769152109.0	D063325	D004409	458486_D063325_D004409	458486_0	0
bcv_easy_1020	yes_direct	4.1178	5	1.0	6637851.0	769153027.0	D000638	D064420	6637851_D000638_D064420	6637851_8	0
bcv_easy_1021	yes_direct	0.0	0	0.0	6637851.0	769153028.0	D000638	D014693	6637851_D000638_D014693	6637851_8	0
bcv_easy_1021	no_relation	4.2176	5	1.0	6637851.0	769153028.0	D000638	D014693	6637851_D000638_D014693	6637851_8	0
bcv_easy_1022	yes_direct	0.0	0	0.0	6637851.0	769153029.0	D000638	D017180	6637851_D000638_D017180	6637851_9	0
bcv_easy_1022	no_relation	3.8823	5	1.0	6637851.0	769153029.0	D000638	D017180	6637851_D000638_D017180	6637851_9	0
bcv_easy_1024	yes_direct	2.2731	3	0.597790927022	18086064.0	769153031.0	D020927	D009203	18086064_D020927_D009203	18086064_6	0
bcv_easy_1024	no_relation	1.5294	2	0.402209072978	18086064.0	769153031.0	D020927	D009203	18086064_D020927_D009203	18086064_6	0
bcv_easy_1025	yes_direct	2.4999	3	0.613126333603	18086064.0	769153032.0	D020927	D017202	18086064_D020927_D017202	18086064_6	0
bcv_easy_1025	no_relation	1.5774	2	0.386873666397	18086064.0	769153032.0	D020927	D017202	18086064_D020927_D017202	18086064_6	0
bcv_easy_1026	yes_direct	0.0	0	0.0	9875685.0	769153033.0	D014031	D064420	9875685_D014031_D064420	9875685_1	0
bcv_easy_1026	no_relation	4.0028	5	1.0	9875685.0	769153033.0	D014031	D064420	9875685_D014031_D064420	9875685_1	0
bcv_easy_1027	yes_direct	0.7941	1	0.203829667086	9875685.0	769153034.0	D003404	D007674	9875685_D003404_D007674	9875685_12	0
bcv_easy_1027	no_relation	3.1018	4	0.796170332914	9875685.0	769153034.0	D003404	D007674	9875685_D003404_D007674	9875685_12	0
bcv_easy_1028	yes_direct	0.0	0	0.0	9098464.0	769153035.0	D012701	D062788	9098464_D012701_D062788	9098464_0	0
bcv_easy_1028	no_relation	3.9118	5	1.0	9098464.0	769153035.0	D012701	D062788	9098464_D012701_D062788	9098464_0	0
bcv_easy_1029	yes_direct	1.5588	2	0.386866205048	9098464.0	769153036.0	D005473	D062788	9098464_D005473_D062788	9098464_0	1
bcv_easy_1029	no_relation	2.4705	3	0.613133794952	9098464.0	769153036.0	D005473	D062788	9098464_D005473_D062788	9098464_0	1
bcv_easy_103	yes_direct	0.0	0	0.0	458486.0	769152110.0	C037689	D010300	458486_C037689_D010300	458486_1	0
bcv_easy_103	no_relation	4.0587	5	1.0	458486.0	769152110.0	C037689	D010300	458486_C037689_D010300	458486_1	0
bcv_easy_1030	yes_direct	2.3823	3	0.600151152538	9098464.0	769153037.0	D012701	D006966	9098464_D012701_D006966	9098464_0	0
bcv_easy_1030	no_relation	1.5872	2	0.399848847462	9098464.0	769153037.0	D012701	D006966	9098464_D012701_D006966	9098464_0	0
