PMID	NUM_SENT	MENTION_INI	MENTION_END	MENTION_TEXT	MENTION_TYPE	MENTION_ID	SENTENCE
18477409	1	54	81	polyunsaturated fatty acids	Chemical	D005231	INTRODUCTION: While consumption of omega-3 long-chain polyunsaturated fatty acids (n-3 LCPUFA) has been recommended for those at risk of inflammatory disease such as rheumatoid arthritis, the mechanism of their anti-inflammatory effect remains to be clearly defined, particularly in relation to the dose and type of n-3 LCPUFA.
18477409	6	31	41	fatty-acid	Chemical	CHEBI:35366	Erythrocytes were analyzed for fatty-acid content.
18477409	7	25	31	LCPUFA	Chemical		RESULTS: Erythrocyte n-3 LCPUFA levels were higher and absolute leukocyte and lymphocyte numbers were lower in subjects consuming n-3 enriched foods than in controls.
18477409	8	120	125	CD19+	Chemical		There were no changes in the number of neutrophils, monocytes, T cells (CD3+), T-cell subsets (CD4+, CD8+) and B cells (CD19+).
18477409	9	160	181	eicosapentaenoic acid	Chemical	D015118	However, natural killer (NK) (CD3-CD16+CD56+) cell numbers were lower in n-3 supplemented subjects than in controls and were inversely related to the amount of eicosapentaenoic acid or docosahexaenoic acid in erythrocytes.
18477409	9	185	205	docosahexaenoic acid	Chemical	CHEBI:28125	However, natural killer (NK) (CD3-CD16+CD56+) cell numbers were lower in n-3 supplemented subjects than in controls and were inversely related to the amount of eicosapentaenoic acid or docosahexaenoic acid in erythrocytes.
16819507	0	85	96	hydroxyurea	Chemical	D006918	RNA polymerase II transcription is required for human papillomavirus type 16 E7- and hydroxyurea-induced centriole overduplication.
16819507	4	63	74	hydroxyurea	Chemical	D006918	We found that human papillomavirus type 16 E7 (HPV-16 E7)- and hydroxyurea (HU)-induced centriole overduplication are abrogated by alpha-amanitin, a potent and specific RNA pol II inhibitor.
9988757	0	41	52	glutathione	Chemical	D005978	Molecular mechanism of the regulation of glutathione synthesis by tumor necrosis factor-alpha and dexamethasone in human alveolar epithelial cells.
9988757	0	98	111	dexamethasone	Chemical	D003907	Molecular mechanism of the regulation of glutathione synthesis by tumor necrosis factor-alpha and dexamethasone in human alveolar epithelial cells.
9988757	1	0	11	Glutathione	Chemical	D005978	Glutathione (GSH) is an important physiological antioxidant in lung epithelial cells and lung lining fluid.
9988757	1	13	16	GSH	Chemical	CHEBI:16856	Glutathione (GSH) is an important physiological antioxidant in lung epithelial cells and lung lining fluid.
9988757	2	29	32	GSH	Chemical	CHEBI:16856	We studied the regulation of GSH synthesis in response to the pro-inflammatory cytokine tumor necrosis factor-alpha (TNF-alpha) and the anti-inflammatory agent dexamethasone in human alveolar epithelial cells (A549).
9988757	2	160	173	dexamethasone	Chemical	D003907	We studied the regulation of GSH synthesis in response to the pro-inflammatory cytokine tumor necrosis factor-alpha (TNF-alpha) and the anti-inflammatory agent dexamethasone in human alveolar epithelial cells (A549).
9988757	3	40	43	GSH	Chemical	CHEBI:16856	TNF-alpha (10 ng/ml) exposure increased GSH levels, concomitant with a significant increase in gamma-glutamylcysteine synthetase (gamma-GCS) activity and the expression of gamma-GCS heavy subunit (gamma-GCS-HS) mRNA at 24 h. Treatment with TNF-alpha also increased chloramphenicol acetyltransferase (CAT) activity of a gamma-GCS-HS 5'-flanking region reporter construct, transfected into alveolar epithelial cells.
9988757	3	95	117	gamma-glutamylcysteine	Chemical	C017341	TNF-alpha (10 ng/ml) exposure increased GSH levels, concomitant with a significant increase in gamma-glutamylcysteine synthetase (gamma-GCS) activity and the expression of gamma-GCS heavy subunit (gamma-GCS-HS) mRNA at 24 h. Treatment with TNF-alpha also increased chloramphenicol acetyltransferase (CAT) activity of a gamma-GCS-HS 5'-flanking region reporter construct, transfected into alveolar epithelial cells.
9988757	3	265	280	chloramphenicol	Chemical	D002701	TNF-alpha (10 ng/ml) exposure increased GSH levels, concomitant with a significant increase in gamma-glutamylcysteine synthetase (gamma-GCS) activity and the expression of gamma-GCS heavy subunit (gamma-GCS-HS) mRNA at 24 h. Treatment with TNF-alpha also increased chloramphenicol acetyltransferase (CAT) activity of a gamma-GCS-HS 5'-flanking region reporter construct, transfected into alveolar epithelial cells.
9988757	6	0	13	Dexamethasone	Chemical	D003907	Dexamethasone (3 microM) produced a significant decrease in the levels of GSH, decreased gamma-GCS activity and gamma-GCS-HS mRNA expression at 24 h. The increase in GSH levels, gamma-GCS-HS mRNA, gamma-GCS-HS promoter activity, and AP-1 DNA binding produced by TNF-alpha were abrogated by co-treating the cells with dexamethasone.
9988757	6	74	77	GSH	Chemical	CHEBI:16856	Dexamethasone (3 microM) produced a significant decrease in the levels of GSH, decreased gamma-GCS activity and gamma-GCS-HS mRNA expression at 24 h. The increase in GSH levels, gamma-GCS-HS mRNA, gamma-GCS-HS promoter activity, and AP-1 DNA binding produced by TNF-alpha were abrogated by co-treating the cells with dexamethasone.
9988757	6	166	169	GSH	Chemical	CHEBI:16856	Dexamethasone (3 microM) produced a significant decrease in the levels of GSH, decreased gamma-GCS activity and gamma-GCS-HS mRNA expression at 24 h. The increase in GSH levels, gamma-GCS-HS mRNA, gamma-GCS-HS promoter activity, and AP-1 DNA binding produced by TNF-alpha were abrogated by co-treating the cells with dexamethasone.
9988757	6	317	330	dexamethasone	Chemical	D003907	Dexamethasone (3 microM) produced a significant decrease in the levels of GSH, decreased gamma-GCS activity and gamma-GCS-HS mRNA expression at 24 h. The increase in GSH levels, gamma-GCS-HS mRNA, gamma-GCS-HS promoter activity, and AP-1 DNA binding produced by TNF-alpha were abrogated by co-treating the cells with dexamethasone.
9988757	7	47	60	dexamethasone	Chemical	D003907	Thus these data demonstrate that TNF-alpha and dexamethasone modulate GSH levels and gamma-GCS-HS mRNA expression by their effects on AP-1 (c-Jun homodimer).
9988757	7	70	73	GSH	Chemical	CHEBI:16856	Thus these data demonstrate that TNF-alpha and dexamethasone modulate GSH levels and gamma-GCS-HS mRNA expression by their effects on AP-1 (c-Jun homodimer).
19722526	0	31	51	biphenyl sulfonamide	Chemical		Design and evaluation of novel biphenyl sulfonamide derivatives with potent histamine H(3) receptor inverse agonist activity.
