pub_rel_id	deep_semantics	conf_score	num_votes	percent_agree
drug_disease_0	may_cause	2.5589	3	1.0
drug_disease_100	used_to_treat	4.3753	5	1.0
drug_disease_101	may_cause	2.3788	3	1.0
drug_disease_102	may_cause	2.5879	3	1.0
drug_disease_103	used_to_treat	4.3053	5	1.0
drug_disease_104	used_to_treat	2.6092	3	1.0
drug_disease_105	may_cause	2.4421	3	1.0
drug_disease_108	used_to_treat	4.4133	5	0.8270182145266471
drug_disease_108	may_cause	0.9231	1	0.17298178547335286
drug_disease_11	may_cause	1.9091	2	1.0
drug_disease_110	used_to_treat	1.6515	2	0.694257608878426
drug_disease_110	other	0.7273	1	0.30574239112157386
drug_disease_111	used_to_treat	2.5901	3	1.0
drug_disease_112	used_to_treat	2.5879	3	1.0
drug_disease_113	used_to_treat	1.6515	2	0.6646410173857051
drug_disease_113	may_cause	0.8333	1	0.3353589826142949
drug_disease_114	used_to_treat	3.7026000000000003	4	0.8004410143329659
drug_disease_114	may_cause	0.9231	1	0.19955898566703417
drug_disease_115	used_to_treat	2.5164999999999997	3	0.519540846873258
drug_disease_115	may_cause	2.3272	3	0.4804591531267419
drug_disease_117	may_cause	2.4451	3	1.0
drug_disease_118	used_to_treat	2.4745	3	1.0
drug_disease_12	may_cause	4.2616000000000005	5	1.0
drug_disease_127	used_to_treat	5.1121	6	1.0
drug_disease_128	may_cause	2.4854	3	1.0
drug_disease_136	may_cause	2.5078	3	1.0
drug_disease_137	used_to_treat	2.5078	3	1.0
drug_disease_139	may_cause	1.75	2	1.0
drug_disease_14	may_cause	2.4221	3	1.0
drug_disease_141	used_to_treat	1.8420999999999998	2	0.6885325558794947
drug_disease_141	may_cause	0.8333	1	0.31146744412050537
drug_disease_142	may_cause	2.4148	3	1.0
drug_disease_144	used_to_treat	2.4245	3	1.0
drug_disease_145	used_to_treat	1.7748	2	0.6859660650098558
drug_disease_145	may_cause	0.8125	1	0.31403393499014415
drug_disease_146	used_to_treat	2.5598	3	1.0
drug_disease_147	used_to_treat	1.7748	2	0.6859660650098558
drug_disease_147	may_cause	0.8125	1	0.31403393499014415
drug_disease_148	used_to_treat	3.4810999999999996	4	1.0
drug_disease_149	used_to_treat	4.1183	5	1.0
drug_disease_15	used_to_treat	4.0652	5	1.0
drug_disease_150	used_to_treat	2.85	3	1.0
drug_disease_151	used_to_treat	1.6278	2	0.6790988735919901
