_unit_id	_created_at	_golden	_id	_missed	_started_at	_tainted	_channel	_trust	_worker_id	_country	_region	_city	_ip	broad_rel_type	comments_box	deep_semantics	broad_rel_type_gold	deep_semantics_gold	form_object	form_subject	formatted_sentence	gold_std_association_type	num_sentence	object_end	object_start	object_text	object_type	original_sentence	pub_rel_id	pubmed_id	subject_end	subject_start	subject_text	subject_type
706124678	4/21/2015 23:00:00	false	1618857167		4/21/2015 22:56:59	false	clixsense	0.8421	9834199	ROU	14	Constanta	5.14.143.185	positive		used_to_treat			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/21/2015 23:01:53	false	1618858112		4/21/2015 22:57:57	false	clixsense	0.9091	30260697	ITA	13	Brindisi	2.237.137.52	positive		used_to_treat			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/21/2015 23:35:22	false	1618870625		4/21/2015 23:27:06	true	elite	0.6667	30489610	BIH	1	Sarajevo	188.127.125.56	speculative		used_to_treat			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/21/2015 23:43:35	false	1618873363		4/21/2015 23:35:31	true	clixsense	0.6667	28000865	UKR	12	Kiev	94.244.167.131	speculative		other			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/21/2015 23:49:41	false	1618875702		4/21/2015 23:43:49	true	clixsense	0.6923	6378074	MAR	45	Casablanca	41.251.145.188	positive		used_to_treat			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/22/2015 00:55:53	false	1618899543		4/22/2015 00:49:34	true	gifthunterclub	0.6818	29269406	ESP	56	Barcelona	81.36.82.46	negative					"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/22/2015 01:01:08	false	1618901345		4/22/2015 00:56:21	false	neodev	0.8333	31650069	CAN	BC	Kelowna	154.20.181.121	positive		used_to_treat			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/22/2015 01:01:58	false	1618901622		4/22/2015 01:01:20	false	elite	0.7333	31684238	VNM	44	Hanoi	117.7.169.55	positive		used_to_treat			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124678	4/22/2015 01:06:49	false	1618903357		4/22/2015 01:03:42	false	neodev	0.8	31851061	EGY	11	Cairo	193.227.44.12	positive		used_to_treat			"&quot;<span class=""form_object"">silver nitrate</span>&quot;"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	positive	5	188	174	silver nitrate	drug	All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation).	drug_disease_206	17726209	115	68	stomal varices secondary to portal hypertension	disease
706124679	4/21/2015 22:55:01	false	1618854803		4/21/2015 22:52:13	false	neodev	0.9231	20045399	GBR	M2	Solihull	82.36.155.235	positive		may_cause			"&quot;<span class=""form_object"">fluconazole</span>&quot;"	"&quot;<span class=""form_subject"">aspergillosis</span>&quot;"	"<div class=""formatted_sentence"">Posaconazole, in doses of 200 mg 3 times daily, reduced breakthrough invasive fungal infections (OR 0.30; 95% CI 0.12 to 0.71) and <span class=""subject_text"">aspergillosis</span> incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving <span class=""object_text"">fluconazole</span>.</div>"	positive	7	285	274	fluconazole	drug	Posaconazole, in doses of 200 mg 3 times daily, reduced breakthrough invasive fungal infections (OR 0.30; 95% CI 0.12 to 0.71) and aspergillosis incidence (OR 0.31; 95% CI 0.13 to 0.75) in patients receiving hematopoietic stem-cell transplants compared with those receiving fluconazole.	drug_disease_114	18713852	144	131	aspergillosis	disease
