uniq_id	verify_relationship	conf_score	num_votes	percent_agree	pmid	unit_id	chemical_id	disease_id	relation_pair_id	sentence_id
bcv_sentence_task_befree_0	no_relation	4.4746	5	1.0	1279198.0	770955926.0	D016047	D000744	1279198_D016047_D000744	1279198_0
bcv_sentence_task_befree_1	no_relation	4.5624	5	1.0	1279198.0	770955927.0	D016049	D000744	1279198_D016049_D000744	1279198_0
bcv_sentence_task_befree_10	no_relation	4.3854	5	1.0	1326224.0	770955936.0	D016190	D007938	1326224_D016190_D007938	1326224_2
bcv_sentence_task_befree_100	no_relation	4.438	5	1.0	1653780.0	770956026.0	D013629	D064420	1653780_D013629_D064420	1653780_1
bcv_sentence_task_befree_1000	yes_direct	3.7969	4	0.803491694001	9808489.0	770956927.0	D020123	D064420	9808489_D020123_D064420	9808489_2
bcv_sentence_task_befree_1000	no_relation	0.9286	1	0.196508305999	9808489.0	770956927.0	D020123	D064420	9808489_D020123_D064420	9808489_2
bcv_sentence_task_befree_1001	no_relation	2.6985	3	0.617548115431	9808489.0	770956928.0	D016572	D064420	9808489_D016572_D064420	9808489_2
bcv_sentence_task_befree_1001	yes_direct	1.6712	2	0.382451884569	9808489.0	770956928.0	D016572	D064420	9808489_D016572_D064420	9808489_2
bcv_sentence_task_befree_1002	no_relation	4.5149	5	1.0	9808489.0	770956929.0	D020123	D006973	9808489_D020123_D006973	9808489_7
bcv_sentence_task_befree_1003	no_relation	4.7797	5	1.0	9808489.0	770956930.0	D014280	D006973	9808489_D014280_D006973	9808489_7
bcv_sentence_task_befree_1004	no_relation	4.5058	5	1.0	9808489.0	770956931.0	D002784	D006973	9808489_D002784_D006973	9808489_7
bcv_sentence_task_befree_1005	no_relation	3.6871	4	0.794719258541	9808489.0	770956932.0	D016572	D006973	9808489_D016572_D006973	9808489_7
bcv_sentence_task_befree_1005	yes_direct	0.9524	1	0.205280741459	9808489.0	770956932.0	D016572	D006973	9808489_D016572_D006973	9808489_7
bcv_sentence_task_befree_1006	no_relation	3.5629	4	0.81452608477	9816328.0	770956933.0	D004967	D009369	9816328_D004967_D009369	9816328_0
bcv_sentence_task_befree_1006	yes_direct	0.8113	1	0.18547391523	9816328.0	770956933.0	D004967	D009369	9816328_D004967_D009369	9816328_0
