worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_2_contributors
2253549,3174334,6,2,6,0,prodege,CAN,"","",70.71.36.231,,,0,,0.6667,360,1.0
3626598,94399,18,0,8,0,prodege,CAN,ON,Sault Sainte Marie,70.51.130.192,,,0,,1.0,360,1.0
4438583,607536,6,2,6,0,treasuretrooper,USA,GA,Hephzibah,68.217.202.244,,,0,,0.6667,0,1.0
6329782,3430360,6,3,6,0,clixsense,IDN,04,Jakarta,114.79.28.109,,,0,,0.5,0,1.0
6330007,2492964,96,4,21,0,clixsense,AUS,06,Hobart,101.178.23.28,,,0,,0.8095,360,1.0
6338920,3932762,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6340271,3666942,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6364034,3238220,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6524027,2820271,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
6572540,3908965,138,1,28,0,clixsense,PRT,19,Setúbal,84.91.152.123,,,0,,0.9643,99,1.0
7432835,4071970,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
8941631,3735243,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
8969168,4214478,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
9082954,4224700,6,3,6,0,clixsense,PRT,"","",88.214.160.40,,,0,,0.5,0,1.0
9336290,4251248,414,4,74,0,clixsense,COL,"","",181.62.183.168,,,0,,0.9459,371,1.0
9832767,2758095,72,1,17,0,clixsense,IND,25,Sivaganga,117.206.125.9,,,0,,0.9412,360,1.0
10538176,4403330,36,1,11,0,clixsense,ROU,03,Pitesti,79.116.140.64,,,0,,0.9091,360,1.0
10804480,3719792,6,3,6,0,clixsense,HUN,"","",46.107.69.30,,,0,,0.5,0,1.0
10948338,3584162,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
10996899,3595081,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11000920,270EE0CC09525A0B0DD4E15F98F7C799,456,4,81,0,neodev,ITA,12,Turin,2.34.50.122,,,0,,0.9506,137,1.0
11014811,132FB8D319EE7B6B41A29D4352C72707,492,11,87,0,neodev,GBR,G6,Hull,87.102.82.212,,,0,,0.8736,561,1.0
11029231,46A89350DAE5D98EAADFB62A30C6BB71,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11055412,F69949EE517BA2ED93CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11064916,F3412D40364B0E6F2BFA95FAD8D0CB36,798,30,138,0,neodev,BOL,04,La Paz,190.129.63.163,,,0,,0.7826,271,1.0
11081436,FEABFB059144B86841A29D4352C72707,300,5,55,0,neodev,PRT,"","",89.115.145.116,,,0,,0.9091,401,1.0
11124532,F66E953531BC2CAC93CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
11155536,4123746,6,2,6,0,clixsense,BRA,23,Passo Fundo,177.82.164.181,,,0,,0.6667,0,1.0
11373336,4482905,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
11640045,DD2E52FA022205D22BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
12016510,4550049,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
12219174,F4628C66A7EB2FC32BFA95FAD8D0CB36,6,1,6,0,neodev,CAN,BC,Surrey,108.180.63.196,,,0,,0.8333,360,1.0
12680038,A5FEC3CE7A7DB81959F2CAAFA4DBDBA2,78,2,18,0,neodev,BEL,08,Gent,91.182.56.99,,,0,,0.8889,360,1.0
12767067,2090FDA85A52025EDD6A67EA287D2489,6,3,6,0,neodev,ITA,08,Genova,2.235.161.81,,,0,,0.5,360,1.0
13060883,B0BEAA402A54303BDD6A67EA287D2489,6,2,6,0,neodev,SRB,00,Belgrade,213.198.231.229,,,0,,0.6667,360,1.0
13413440,4713943,372,3,66,1,clixsense,DEU,05,Offenbach,95.117.14.240,,,0,,0.9545,122,1.0
13426363,4693124,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
13639474,4752773,210,5,40,0,clixsense,BGD,"","",42.0.7.230,,,0,,0.875,360,1.0
13974553,4803776,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
14038260,58C0011300E7B57224750D543524A854,24,0,9,0,neodev,PHL,18,Roxas,120.29.105.222,,,0,,1.0,360,1.0
14073714,590BE2733ABF40B841A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
14265684,4842201,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
14309924,4848578,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
14452845,2678945388BEEDEA24750D543524A854,6,2,6,0,neodev,ZAF,06,Johannesburg,154.69.113.6,,,0,,0.6667,0,1.0
14574613,4887137,6,2,6,0,clixsense,CZE,52,Prague,195.250.145.2,,,0,,0.6667,0,1.0
14643012,4897356,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
14768021,4913116,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
15723827,0E9D732073C5549F41A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
16101132,7084156,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
16282608,B5FD0206EF20320C044935D48A84480F,6,2,6,0,neodev,SRB,00,Belgrade,93.86.215.235,,,0,,0.6667,0,1.0
16498372,5162563,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
16526976,3637425,30,1,10,0,clixsense,BIH,01,Sarajevo,92.36.197.139,8/14/2015 21:58:19,8/14/2015 21:58:19,0,Triggered judgment distribution rule 'acceptable_distribution' on field 'verify_relationship',0.9,360,1.0
16567674,5172786,264,6,49,0,clixsense,PHL,D9,Taguig,121.54.32.104,,,0,,0.8776,132,1.0
16846433,5211063,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
17222221,3064783,216,3,41,0,clixsense,MKD,98,Stip,77.29.61.65,,,0,,0.9268,370,1.0
17331935,5287289,6,3,6,0,clixsense,MYS,12,"",123.136.106.150,,,0,,0.5,360,1.0
17549981,FA612B61C6A5719E0FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
17839436,A69813B0DDA5DBD193CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
17968637,5393260,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18007240,5398836,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18098509,4BBE3624B4870D7C0DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
18140704,5417214,6,3,6,0,clixsense,PHL,"","",180.191.71.57,,,0,,0.5,0,1.0
18146452,938D786031B481E5BD9CE4BD64DFB8C1,6,2,6,0,neodev,IND,02,Hyderabad,103.15.63.229,,,0,,0.6667,0,1.0
18413831,474B97D4BBBF29F041A29D4352C72707,6,2,6,0,neodev,IDN,"","",114.79.32.249,,,0,,0.6667,0,1.0
18531561,pocketlint,6,2,6,0,instagc,CAN,ON,Mississauga,99.229.92.227,,,0,,0.6667,0,1.0
18763215,5505920,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
18854007,815A3BABA090AE1493CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
18855953,3359179,6,3,6,0,clixsense,IDN,04,Jakarta,120.172.89.243,,,0,,0.5,360,1.0
18876659,A1FE9A2959B26D1324750D543524A854,6,3,6,0,neodev,IDN,08,Surabaya,202.67.46.7,,,0,,0.5,360,1.0
18989672,5541048,6,3,6,0,clixsense,SRB,00,Belgrade,77.105.62.11,,,0,,0.5,360,1.0
19130982,5560855,42,2,12,0,clixsense,PHL,"","",112.198.99.157,,,0,,0.8333,360,1.0
19294877,5564036,6,2,6,0,clixsense,USA,GA,Atlanta,172.56.1.186,,,0,,0.6667,360,1.0
19432037,3700502,900,12,155,0,clixsense,ITA,12,Turin,151.33.169.143,,,0,,0.9226,322,1.0
19678188,5651480,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
19687649,2679646,6,1,6,0,fusioncash,USA,MO,Saint Louis,108.213.41.52,,,0,,0.8333,0,1.0
19740138,bcsub,78,1,18,0,instagc,CAN,"","",50.69.96.237,,,0,,0.9444,360,1.0
19745059,mimi56,0,0,0,0,instagc,,,,,,,0,,1.0,0,1.0
19746351,E30696D04A14BD6D0FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
19834898,B1FB439039B82D172BFA95FAD8D0CB36,6,3,6,0,neodev,IND,02,Hyderabad,106.66.150.79,,,0,,0.5,0,1.0
19871119,40D20174DDCCA78F93CA06397A287A80,6,3,6,0,neodev,IND,28,Calcutta,182.66.53.57,,,0,,0.5,0,1.0
19913374,Teresaq14,534,7,94,0,instagc,CAN,ON,Woodbridge,174.112.153.114,,,0,,0.9255,109,1.0
19953423,117615,258,4,48,0,tremorgames,IDN,"","",36.69.172.29,,,0,,0.9167,360,1.0
20113482,900,120,0,25,0,points4rewards,USA,PA,Philadelphia,162.208.49.45,,,0,,1.0,51,1.0
20161225,5739652,630,14,110,0,clixsense,CYP,"","",62.228.217.90,,,0,,0.8727,190,1.0
20298753,3A64DEA14AA7AE6C6964A2442E880D82,1134,31,194,0,neodev,SRB,00,Belgrade,178.148.216.191,,,0,,0.8402,233,1.0
20306047,27165FC926DAC53F6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
20312760,cocolgooh,606,20,105,1,instagc,GBR,I2,Manchester,2.99.246.59,,,0,,0.8095,277,1.0
20313058,5763949,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
20404755,5777915,324,4,59,0,clixsense,IRL,16,Limerick,86.46.232.31,,,0,,0.9322,382,1.0
20492264,B44FC10D0EE186B5044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
20506615,122713,0,0,0,0,tremorgames,,,,,,,0,,1.0,0,1.0
20518958,29B08308732D8D9BDD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
20543325,4BEE953758EE4C330FA9E28369487118,24,2,9,0,neodev,VEN,"","",190.78.92.49,,,0,,0.7778,360,1.0
20559745,AF8F5CBEC136E7FE0DD4E15F98F7C799,66,1,16,0,neodev,IDN,04,Jakarta,118.136.107.152,,,0,,0.9375,360,1.0
20645396,4050D9F31F71EE500FA9E28369487118,6,4,6,0,neodev,VNM,20,Ho Chi Minh City,115.76.86.180,,,0,,0.3333,360,1.0
20684778,5822768,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
20795315,xangel87x,126,7,26,0,instagc,CAN,ON,Bracebridge,24.146.12.164,,,0,,0.7308,360,1.0
20845955,paulwebber89,24,0,9,0,instagc,GBR,P2,Warrington,90.216.90.138,,,0,,1.0,360,1.0
20962789,5860089,60,0,15,0,clixsense,ARG,01,Lomas Del Mirador,186.18.243.93,,,0,,1.0,360,1.0
21013389,DCF1E9BB9B54027E93CA06397A287A80,6,4,6,0,neodev,UKR,"","",213.174.2.245,,,0,,0.3333,0,1.0
21014327,18,0,0,0,0,elite,,,,,,,0,,1.0,0,1.0
21053512,jrrjb,552,5,97,0,instagc,CAN,ON,London,129.100.197.182,,,0,,0.9485,390,1.0
21154020,5881298,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
21333281,2670155EEC93844B2BFA95FAD8D0CB36,420,3,75,0,neodev,ARG,01,Chacabuco,190.192.4.143,,,0,,0.96,252,1.0
21336856,665A97E2212D98D86964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
21353389,0F42B4ABA3C788086964A2442E880D82,24,0,9,0,neodev,LVA,25,Riga,77.38.251.50,,,0,,1.0,360,1.0
21406883,5934195,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
21408115,5934406,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
21432964,jay20ab,0,0,0,0,pocketmoneygpt,,,,,,,0,,1.0,0,1.0
21477362,5946858,24,0,9,0,clixsense,CZE,52,Prague,83.208.181.246,,,0,,1.0,360,1.0
21480722,225685,18,1,8,0,tremorgames,HRV,21,Zagreb,46.234.77.252,,,0,,0.875,540,1.0
21551272,casepuma,12,2,7,0,instagc,GBR,I9,King's Lynn,92.29.81.47,,,0,,0.7143,360,1.0
21628557,5DA301F4751485B9044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
21743413,153257,114,3,24,0,bitcoinget,USA,WA,Port Angeles,65.193.218.67,,,0,,0.875,360,1.0
21920449,04EE96895BEB81460DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
21971187,40940D6F035472C493CA06397A287A80,18,1,8,0,neodev,TTO,08,Tacarigua,190.83.250.190,,,0,,0.875,360,1.0
22017537,37431CC29A2EAEEB6964A2442E880D82,6,3,6,0,neodev,FRA,A8,Paris,77.207.254.194,,,0,,0.5,360,1.0
22159668,6066361,6,2,6,0,clixsense,MYS,07,Ipoh,175.136.108.233,,,0,,0.6667,0,1.0
22222226,FF11D4FDA26026800DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0
22270693,9529396,6,5,6,0,prodege,CAN,ON,London,99.254.65.140,,,0,,0.1667,0,1.0
22380771,4503117,6,3,6,0,clixsense,BEL,"","",109.128.49.62,,,0,,0.5,0,1.0
22429869,5087E7B77DA2C8CF6964A2442E880D82,6,3,6,0,neodev,SRB,"","",178.220.227.197,,,0,,0.5,0,1.0
22440332,D9B3DE0E1B4829E393CA06397A287A80,6,5,6,0,neodev,TUN,"","",197.9.150.143,,,0,,0.1667,360,1.0
22496080,9796213,0,0,0,0,prodege,,,,,,,0,,1.0,0,1.0
22778480,6145783,450,7,80,0,clixsense,GRC,35,Athens,79.167.63.240,,,0,,0.9125,142,1.0
22824844,6050165,180,1,35,0,clixsense,ESP,"","",31.4.241.251,,,0,,0.9714,54,1.0
22984878,6154145,6,3,6,0,clixsense,CAN,ON,Kingston,67.193.186.57,,,0,,0.5,360,1.0
23144069,6162746,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0
23228736,6166827,6,3,6,0,clixsense,VEN,"","",186.88.197.87,,,0,,0.5,360,1.0
23391365,6174016,6,2,6,0,clixsense,TUR,65,Van,78.182.26.158,,,0,,0.6667,360,1.0
24089746,4FCDE6F299C1FF060DD4E15F98F7C799,18,0,8,0,neodev,JAM,08,Kingston,72.27.215.225,,,0,,1.0,360,1.0
24118190,F7A9AE4FD96CEEE7DD6A67EA287D2489,6,5,6,0,neodev,VEN,"","",190.207.151.202,,,0,,0.1667,0,1.0
